,retailer_id,outlet_name,outlet_type_id,type_name,outlet_photo,lat,longi,street_address,pin_code,district,taluka,owner_name,contact_no,landmark,u_name,user_contact_no,beat_number,sub_beat,full_beat
2400,165811,N C S V STORE,1,General Store,https://gtaprodstorage.blob.core.windows.net/outlet-photos/8121d8b7-e415-4d26-a97f-ea2242a44952,14.5948742,76.1676864,Jagalur road uchangi pura,577513,Davangere,Jagalur,Nagaraj,9483774167,Jagalur road uchangi pura,Sanjay kumar s,9964140461,0,,0
2149,149874,Sri mahilarlingeshwara kirani store,1,General Store,https://gtaprodstorage.blob.core.windows.net/outlet-photos/c3453a23-0e36-4b20-9344-adbf035eb435,14.5696057,75.8709205,Pb road kondaji,577589,Davangere,Davanagere,Anjenappa,9741745220,Pb road kondaji,Sanjay kumar s,9964140461,0,,0
2046,146341,BANGALORE IYENGAR BAKERY & SWEETS,4,Bakery/ Condiments,https://gtaprodstorage.blob.core.windows.net/outlet-photos/146341,14.2188827,75.8826237,Doddagatta channagiri road,577544,Davangere,Channagiri,Vishwas,7760702854,Doddagatta channagiri road,Sanjay kumar s,9964140461,0,,0
2045,146309,Sri Siddeshwara traders,1,General Store,https://gtaprodstorage.blob.core.windows.net/outlet-photos/146309,14.2183435,75.8828674,Doddagatta channagiri road,577544,Davangere,Channagiri,Mallikarjun,9481575888,Doddagatta channagiri road,Sanjay kumar s,9964140461,0,,0
1811,115644,Hanumanthappa shop,1,General Store,https://gtaprodstorage.blob.core.windows.net/clappia-photos/obj_7/JJC20063716-IMG-20240926_163685i2n.jpeg,14.460025,75.85603,Nh4 doddabathi rode davanagere,577001,Davangere,Davanagere,Hanumanthappa,9980622807,Nh4 doddabathi rode davanagere,Sanjay kumar s,9964140461,0,,0
1782,114930,KUMAR SWAMI SHOP,15,Paan Beeda,https://gtaprodstorage.blob.core.windows.net/clappia-photos/obj_7/VUZ41344281-IMG-20241003_12277ioid.jpeg,14.4020211,76.0085185,Kalapanahally davanagere,577001,Davangere,Davanagere,Kumar swami,9663656279,Kalapanahally davanagere,Sanjay kumar s,9964140461,0,,0
1743,114011,Somshekar shop,1,General Store,https://gtaprodstorage.blob.core.windows.net/clappia-photos/obj_7/DCA12860098-IMG-20241009_112783g7b.jpeg,14.3012021,75.8803912,Channagiri rd davanagere,577004,Davangere,Davanagere,Somashekarappa,9731998601,Channagiri rd davanagere,Sanjay kumar s,9964140461,0,,0
1736,113871,Harsha Provision Store,1,General Store,https://gtaprodstorage.blob.core.windows.net/clappia-photos/obj_7/CHB71031021-IMG-20241010_1336p7kp8.jpeg,14.5470423,75.9343699,Harapannahalli rd davanagere,577001,Davangere,Davanagere,Ramesh,7019510979,Harapannahalli rd davanagere,Sanjay kumar s,9964140461,0,,0
1283,99805,Manjamma shop,1,General Store,https://gtaprodstorage.blob.core.windows.net/clappia-photos/obj_7/RPG22976350-IMG-20241010_153914do3n.jpeg,14.5469831,75.9346534,Harapannahalli rd davanagere,577001,Davangere,Davanagere,Manjamma,8747896737,Harapannahalli rd davanagere,Sanjay kumar s,9964140461,0,,0
1048,93654,Devappa shop,1,General Store,https://gtaprodstorage.blob.core.windows.net/clappia-photos/obj_7/YSY18971189-Devappa shop20240926_10392k3ff.jpeg,14.4786137,75.8427886,Doddabathi davanagere,577001,Davangere,Davanagere,Devappa,8971154388,Doddabathi rode davanagere,Sanjay kumar s,9964140461,0,,0
